2016,2017,2018,2019,2020,2021,2022
,1823,5760,5833,3553,4632,3887
7678,6974,18042,18017,12487,17329,13692
15283,12476,26954,27097,18041,22984,19883
9589,8155,19872,20524,13707,20057,16024
556,391,1032,1254,,1552,1070
,,590,,,437,464
222,145,,1683,2280,4965,4648
,380,,1260,,1438,1528
,281,886,777,,651,641
484,457,1115,973,,804,730
1547,1557,5532,7201,5038,7879,7922
813,649,1961,,1222,1749,1577
17942,14524,35521,35917,23074,29162,23644
27385,22875,54686,59219,38822,53587,46443
,138,430,,519,1068,1084
,,3508,5620,4468,6866,6507
1602,1569,4564,,,3846,2913
3202,2349,5510,4191,2340,2310,1698
1624,1585,3280,,1796,2028,1644
12780,10290,24071,23030,15007,18130,14827
12282,11704,30359,36443,25287,39792,34155
1632,1634,4813,5048,3288,4185,3308
4383,3324,7911,7331,4046,5569,4299
436,416,1857,2794,2929,5799,6625
1602,1309,3420,3309,2052,2148,1837
2746,2368,6310,5744,3397,4204,3489
,3488,13626,18523,14578,24909,24752
,1574,3810,4781,3499,3847,3185
